label_id	ganglion_id	merged_bilateral_ganglion_id	ganglion_name	ganglion_name_short	gangliaColourScheme
629	19.0		None	None	None
630	19.0		None	None	None
631	19.0		None	None	None
632	19.0		None	None	None
633	19.0		None	None	None
634	19.0		None	None	None
635	19.0		None	None	None
636	19.0		None	None	None
637	19.0		None	None	None
638	19.0		None	None	None
639	7.0	4.0	dorsal ganglion	DG	255-104-60-255
640	19.0		None	None	None
641	19.0		None	None	None
642	19.0		None	None	None
643	19.0		None	None	None
644	2.0	1.0	palpal ganglia	PG	255-181-131-84
645	19.0		None	None	None
646	19.0		None	None	None
647	2.0	1.0	palpal ganglia	PG	255-181-131-84
648	19.0		None	None	None
649	2.0	1.0	palpal ganglia	PG	255-181-131-84
650	10.0	5.0	antennal ganglia	AG	255-138-205-0
651	8.0	4.0	dorsal ganglion	DG	255-104-60-255
652	19.0		None	None	None
653	8.0	4.0	dorsal ganglion	DG	255-104-60-255
654	8.0	4.0	dorsal ganglion	DG	255-104-60-255
655	19.0		None	None	None
656	19.0		None	None	None
657	19.0		None	None	None
658	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
659	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
660	19.0		None	None	None
661	19.0		None	None	None
662	19.0		None	None	None
663	19.0		None	None	None
664	19.0		None	None	None
665	10.0	5.0	antennal ganglia	AG	255-138-205-0
666	10.0	5.0	antennal ganglia	AG	255-138-205-0
667	19.0		None	None	None
668	8.0	4.0	dorsal ganglion	DG	255-104-60-255
669	19.0		None	None	None
670	19.0		None	None	None
671	17.0	9.0	mushroom bodies	MB	255-161-3-0
672	17.0	9.0	mushroom bodies	MB	255-161-3-0
673	19.0		None	None	None
674	19.0		None	None	None
676	10.0	5.0	antennal ganglia	AG	255-138-205-0
677	10.0	5.0	antennal ganglia	AG	255-138-205-0
678	19.0		None	None	None
679	19.0		None	None	None
680	19.0		None	None	None
681	19.0		None	None	None
682	19.0		None	None	None
683	19.0		None	None	None
684	19.0		None	None	None
688	12.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
689	19.0		None	None	None
690	19.0		None	None	None
691	19.0		None	None	None
692	1.0	1.0	palpal ganglia	PG	255-181-131-84
693	19.0		None	None	None
694	19.0		None	None	None
695	19.0		None	None	None
696	19.0		None	None	None
697	1.0	1.0	palpal ganglia	PG	255-181-131-84
698	19.0		None	None	None
699	19.0		None	None	None
700	19.0		None	None	None
701	1.0	1.0	palpal ganglia	PG	255-181-131-84
702	19.0		None	None	None
703	19.0		None	None	None
704	19.0		None	None	None
705	19.0		None	None	None
706	1.0	1.0	palpal ganglia	PG	255-181-131-84
707	19.0		None	None	None
708	1.0	1.0	palpal ganglia	PG	255-181-131-84
709	19.0		None	None	None
711	19.0		None	None	None
712	1.0	1.0	palpal ganglia	PG	255-181-131-84
713	1.0	1.0	palpal ganglia	PG	255-181-131-84
714	19.0		None	None	None
715	9.0	5.0	antennal ganglia	AG	255-138-205-0
716	19.0		None	None	None
719	19.0		None	None	None
720	2.0	1.0	palpal ganglia	PG	255-181-131-84
721	19.0		None	None	None
722	14.0	7.0	frontal ganglion	FG	255-15-187-253
723	19.0		None	None	None
724	19.0		None	None	None
725	7.0	4.0	dorsal ganglion	DG	255-104-60-255
726	7.0	4.0	dorsal ganglion	DG	255-104-60-255
727	9.0	5.0	antennal ganglia	AG	255-138-205-0
728	9.0	5.0	antennal ganglia	AG	255-138-205-0
729	9.0	5.0	antennal ganglia	AG	255-138-205-0
730	9.0	5.0	antennal ganglia	AG	255-138-205-0
731	19.0		None	None	None
732	19.0		None	None	None
733	9.0	5.0	antennal ganglia	AG	255-138-205-0
734	9.0	5.0	antennal ganglia	AG	255-138-205-0
735	19.0		None	None	None
736	19.0		None	None	None
737	2.0	1.0	palpal ganglia	PG	255-181-131-84
738	19.0		None	None	None
739	19.0		None	None	None
740	19.0		None	None	None
741	2.0	1.0	palpal ganglia	PG	255-181-131-84
742	19.0		None	None	None
743	2.0	1.0	palpal ganglia	PG	255-181-131-84
744	19.0		None	None	None
745	2.0	1.0	palpal ganglia	PG	255-181-131-84
