label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	cell_id	nucleus_id
534.0	190.0	188.72	55.1	174.4	169.84	39.8	195.52	220.32	60.3	878.0	1667.0	0.0
535.0	199.92	117.92	21.0	179.28	117.68	21.0	202.0	129.28	56.0	162.0	2.0	0.0
537.0	179.12	120.0	57.3	178.72	119.52	18.7	200.56	128.96	58.0	195.0	1667.0	0.0
539.0	161.12	121.2	109.1	149.68	116.8	56.2	167.28	128.0	110.5	591.0	5698.0	0.0
54.0	167.84	184.08	48.9	166.72	176.8	46.1	172.8	194.08	55.0	302.0	1667.0	0.0
541.0	155.28	128.24	94.7	148.56	119.52	56.9	167.84	128.32	94.8	408.0	5698.0	0.0
543.0	188.72	171.44	42.9	151.28	117.76	42.2	197.76	171.52	68.3	641.0	1667.0	0.0
545.0	161.28	118.64	106.9	148.96	117.68	56.1	167.6	127.84	109.3	534.0	5698.0	0.0
547.0	208.0	157.84	57.8	204.24	117.6	51.6	222.0	158.0	58.2	307.0	1667.0	0.0
549.0	206.72	159.44	58.9	203.52	118.0	52.1	221.28	162.8	60.8	511.0	1667.0	0.0
55.0	219.2	104.64	68.5	192.16	104.64	68.3	219.28	120.4	76.0	129.0	0.0	0.0
551.0	193.36	187.68	70.2	149.76	164.0	53.4	216.0	221.76	76.4	665.0	1667.0	0.0
553.0	125.2	148.8	112.7	108.64	139.12	97.3	136.48	155.92	134.5	437.0	5698.0	0.0
555.0	205.84	188.32	73.1	190.32	184.0	54.6	228.48	202.4	73.2	260.0	1667.0	0.0
557.0	198.56	187.68	68.2	197.92	182.16	66.1	224.0	195.12	73.9	183.0	1667.0	0.0
559.0	214.8	189.12	59.1	204.32	184.56	50.1	228.8	198.4	67.1	1277.0	1667.0	0.0
561.0	134.8	158.56	69.3	133.2	158.56	19.3	147.76	190.48	69.4	248.0	5698.0	0.0
562.0	180.64	177.36	44.3	140.88	158.56	14.8	186.16	185.2	51.9	805.0	1667.0	0.0
564.0	159.04	132.32	49.0	157.36	121.04	36.3	159.12	132.64	49.1	139.0	3608.0	0.0
566.0	167.68	137.04	40.7	157.68	122.88	36.1	168.0	137.12	50.3	169.0	1934.0	0.0
568.0	163.92	121.28	105.6	145.04	118.64	41.2	167.52	132.4	105.7	477.0	5698.0	0.0
57.0	200.16	173.68	67.0	199.52	137.68	53.5	239.68	181.28	69.5	1254.0	1667.0	0.0
570.0	165.76	120.24	74.0	145.76	119.68	40.4	169.76	130.72	96.5	452.0	5698.0	0.0
572.0	188.16	162.72	44.0	177.2	138.4	44.0	192.72	163.2	53.9	401.0	1667.0	0.0
574.0	182.64	168.4	39.3	178.48	137.36	38.2	191.92	169.44	53.9	748.0	1667.0	0.0
576.0	194.08	164.4	51.5	176.4	132.8	47.8	196.16	168.48	54.3	456.0	1667.0	0.0
578.0	177.76	172.64	48.3	174.16	132.64	40.1	193.12	174.88	53.8	971.0	1667.0	0.0
580.0	202.88	168.08	57.3	182.88	139.68	49.5	211.2	168.16	57.4	225.0	1667.0	0.0
582.0	189.44	174.64	34.1	179.2	136.48	34.1	193.2	174.72	53.9	425.0	1667.0	0.0
